0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
0.0	1.82	-0.0
-0.0	1.82	-0.0
-0.0	1.82	-0.0
-0.0	1.82	-0.0
-0.0	1.82	-0.0
-0.0	1.82	-0.0
-0.0	1.82	-0.0
0.0	1.82	0.0
0.0	1.82	0.0
0.0	1.82	0.01
0.0	1.82	0.01
0.0	1.82	0.02
0.0	1.82	0.02
0.0	1.82	0.03
0.01	1.82	0.04
0.01	1.82	0.05
0.01	1.82	0.06
0.01	1.81	0.07
0.01	1.81	0.08
0.02	1.8	0.09
0.02	1.8	0.11
0.02	1.79	0.12
0.02	1.78	0.13
0.02	1.78	0.15
0.03	1.77	0.17
0.03	1.76	0.18
0.03	1.75	0.2
0.04	1.74	0.22
0.04	1.73	0.24
0.05	1.71	0.26
0.06	1.7	0.28
0.06	1.69	0.3
0.07	1.67	0.32
0.08	1.66	0.34
0.09	1.64	0.36
0.1	1.63	0.38
0.11	1.61	0.4
0.12	1.59	0.43
0.13	1.58	0.45
0.15	1.56	0.48
0.16	1.54	0.5
0.18	1.52	0.53
0.19	1.5	0.55
0.21	1.48	0.58
0.22	1.46	0.61
0.24	1.43	0.64
0.26	1.41	0.66
0.28	1.39	0.69
0.29	1.37	0.72
0.31	1.34	0.76
0.33	1.31	0.79
0.35	1.29	0.82
0.37	1.26	0.85
0.39	1.23	0.89
0.41	1.21	0.92
0.43	1.18	0.96
0.45	1.15	0.99
0.47	1.12	1.03
0.5	1.09	1.07
0.52	1.06	1.11
0.54	1.03	1.15
0.56	1.0	1.2
0.57	0.98	1.24
0.59	0.96	1.27
0.6	0.94	1.3
0.61	0.92	1.33
0.62	0.91	1.36
0.63	0.89	1.38
0.63	0.88	1.4
0.64	0.87	1.42
0.65	0.86	1.44
0.65	0.85	1.45
0.66	0.84	1.47
0.66	0.83	1.48
0.66	0.83	1.5
0.66	0.82	1.51
0.66	0.82	1.53
0.66	0.81	1.54
0.66	0.81	1.56
0.65	0.8	1.57
0.64	0.8	1.59
0.64	0.8	1.61
0.63	0.79	1.62
0.62	0.79	1.64
0.61	0.79	1.65
0.6	0.79	1.67
0.58	0.78	1.69
0.57	0.78	1.71
0.55	0.78	1.73
0.53	0.78	1.75
0.52	0.78	1.76
0.51	0.78	1.77
0.5	0.77	1.79
0.49	0.77	1.8
0.48	0.77	1.81
0.47	0.77	1.82
0.47	0.77	1.82
0.46	0.77	1.83
0.45	0.77	1.84
0.45	0.77	1.84
0.44	0.77	1.85
0.44	0.77	1.86
0.43	0.77	1.86
0.42	0.77	1.87
0.41	0.77	1.88
0.4	0.77	1.89
0.39	0.77	1.9
0.37	0.77	1.91
0.36	0.77	1.92
0.35	0.77	1.94
0.33	0.77	1.95
0.31	0.77	1.96
0.3	0.77	1.98
0.28	0.77	1.99
0.26	0.77	2.01
0.24	0.77	2.02
0.22	0.77	2.04
0.2	0.77	2.06
0.18	0.77	2.07
0.16	0.77	2.09
0.14	0.77	2.1
0.12	0.77	2.12
0.11	0.77	2.13
0.09	0.77	2.14
0.08	0.77	2.15
0.07	0.77	2.16
0.06	0.77	2.17
0.05	0.77	2.17
0.05	0.77	2.18
0.04	0.77	2.19
0.03	0.77	2.19
0.03	0.77	2.19
0.02	0.77	2.2
0.02	0.77	2.2
0.02	0.77	2.2
0.02	0.77	2.2
0.02	0.77	2.2
0.02	0.77	2.2
0.02	0.77	2.19
0.02	0.77	2.19
0.02	0.77	2.19
0.03	0.77	2.18
0.03	0.77	2.17
0.03	0.77	2.17
0.04	0.77	2.16
0.04	0.77	2.15
0.04	0.77	2.14
0.05	0.77	2.13
0.05	0.77	2.13
0.05	0.77	2.12
0.05	0.77	2.12
0.05	0.77	2.11
0.06	0.77	2.11
0.06	0.77	2.11
0.06	0.77	2.1
0.06	0.77	2.1
0.06	0.77	2.1
0.06	0.77	2.1
0.06	0.77	2.09
0.06	0.77	2.09
0.06	0.77	2.09
0.06	0.77	2.09
0.06	0.77	2.09
0.07	0.77	2.09
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.07
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.08
0.07	0.77	2.09
0.06	0.77	2.1
0.06	0.77	2.1
0.06	0.77	2.11
0.05	0.77	2.12
0.04	0.77	2.13
0.04	0.77	2.14
0.03	0.77	2.15
0.02	0.77	2.16
0.01	0.77	2.17
0.0	0.77	2.18
-0.01	0.77	2.19
-0.02	0.77	2.2
-0.03	0.77	2.21
-0.04	0.77	2.22
-0.05	0.77	2.23
-0.06	0.77	2.23
-0.06	0.77	2.24
-0.07	0.77	2.24
-0.07	0.77	2.25
-0.08	0.77	2.25
-0.08	0.77	2.26
-0.09	0.77	2.26
-0.09	0.77	2.27
-0.09	0.77	2.27
-0.1	0.77	2.27
-0.1	0.77	2.27
-0.1	0.77	2.28
-0.1	0.77	2.28
-0.11	0.77	2.28
-0.11	0.77	2.28
-0.11	0.77	2.28
-0.11	0.77	2.28
-0.11	0.77	2.28
-0.11	0.77	2.29
-0.11	0.77	2.29
-0.11	0.77	2.29
-0.12	0.77	2.29
-0.16	0.75	2.32
-0.22	0.73	2.35
-0.21	0.73	2.35
-0.22	0.73	2.36
-0.22	0.73	2.35
-0.2	0.73	2.33
-0.17	0.73	2.31
-0.14	0.73	2.29
-0.1	0.74	2.26
-0.06	0.74	2.23
-0.01	0.74	2.19
0.02	0.74	2.16
0.06	0.74	2.12
0.1	0.75	2.08
0.14	0.75	2.05
0.17	0.75	2.02
0.2	0.75	1.99
0.22	0.75	1.97
0.24	0.75	1.95
0.26	0.75	1.93
0.27	0.75	1.91
0.28	0.74	1.9
0.29	0.74	1.89
0.3	0.74	1.88
0.31	0.74	1.86
0.31	0.74	1.86
0.32	0.74	1.85
0.33	0.74	1.84
0.34	0.74	1.83
0.34	0.74	1.83
0.35	0.74	1.82
0.35	0.74	1.82
0.36	0.74	1.81
0.36	0.74	1.81
0.36	0.74	1.8
0.37	0.74	1.8
0.41	0.77	1.79
0.41	0.77	1.79
0.41	0.77	1.78
0.41	0.77	1.78
0.42	0.77	1.78
0.42	0.77	1.78
0.42	0.77	1.78
0.42	0.77	1.78
0.42	0.77	1.78
0.42	0.77	1.78
0.41	0.77	1.78
0.41	0.77	1.78
0.41	0.77	1.79
0.41	0.77	1.79
0.4	0.77	1.8
0.4	0.77	1.8
0.4	0.77	1.81
0.39	0.77	1.82
0.39	0.77	1.83
0.39	0.77	1.84
0.38	0.77	1.85
0.38	0.77	1.87
0.38	0.77	1.88
0.38	0.77	1.89
0.37	0.77	1.91
0.37	0.77	1.93
0.37	0.77	1.95
0.37	0.77	1.97
0.36	0.77	1.99
0.36	0.77	2.01
0.36	0.77	2.03
0.36	0.77	2.06
0.36	0.77	2.08
0.35	0.77	2.11
0.35	0.77	2.13
0.35	0.77	2.16
0.35	0.77	2.19
0.35	0.77	2.22
0.35	0.77	2.24
0.35	0.77	2.26
0.35	0.77	2.28
0.35	0.77	2.29
0.35	0.77	2.31
0.35	0.77	2.32
0.35	0.77	2.33
0.35	0.77	2.34
0.35	0.77	2.35
0.35	0.77	2.36
0.35	0.77	2.37
0.35	0.77	2.38
0.35	0.77	2.39
0.35	0.77	2.4
0.35	0.77	2.41
0.35	0.77	2.42
0.35	0.77	2.43
0.35	0.77	2.45
0.35	0.77	2.46
0.35	0.77	2.48
0.35	0.77	2.49
0.35	0.77	2.51
0.34	0.77	2.52
0.34	0.77	2.53
0.34	0.77	2.55
0.33	0.77	2.56
0.33	0.77	2.57
0.33	0.77	2.57
0.33	0.77	2.58
0.33	0.77	2.59
0.33	0.77	2.59
0.32	0.77	2.6
0.32	0.77	2.6
0.32	0.77	2.61
0.32	0.77	2.61
0.32	0.77	2.62
0.32	0.77	2.62
0.32	0.77	2.62
0.32	0.77	2.63
0.32	0.77	2.63
0.32	0.77	2.63
0.32	0.77	2.63
0.32	0.77	2.63
0.32	0.77	2.64
0.32	0.77	2.64
0.32	0.77	2.64
0.32	0.77	2.64
0.31	0.77	2.64
0.31	0.77	2.64
0.31	0.77	2.64
0.31	0.77	2.64
0.31	0.77	2.64
